expo_cond,group_comp,timepoint,gene,baseMean,padj,log2FoldChange
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,AU021092_61815,650.90228659493,1.321312668627e-4,-1.25973120917884
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Lama3_56547,158.302158759499,1.321312668627e-4,-1.05791151369922
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Vbp1_29593,749.038173774625,1.6309623435197e-4,-1.06241024504126
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpc1_58802,517.863298762633,1.9760513132887e-4,1.37068395349638
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Mme_70214,361.195266440881,2.2045320496919e-4,-1.38246108620071
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cdr2_58483,435.72577318623,2.2124551459639e-4,-1.06932362319181
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Lrif1_65652,142.325729637595,2.2124551459639e-4,-1.62357176744419
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Commd1_63466,1298.57304580724,2.2384135942109e-4,-1.01840741875221
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zeb1_66163,62.0979872832484,2.2384135942109e-4,-1.96749613799057
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Lmo7_70010,59.986306768301,2.5228733752624e-4,-1.66570780037965
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Uba6_66827,119.503869119769,2.6251881488299e-4,-1.04912334870544
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Alg11_64834,20.6375022920837,2.7997285685895e-4,-1.70553855848125
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Chpt1_78785,293.570726387666,2.8755978587369e-4,-1.46263469708578
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp277_74155,117.603832631081,3.1079102836746e-4,-1.20924472261429
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Trappc6b_65552,505.576307912232,3.5241166199737e-4,-1.37291341730901
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Spry2_56791,64.5044938575196,3.7737893218764e-4,1.05183442324814
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,mt-Nd3_82088,1565.18952764792,4.0349351984374e-4,-2.07577847263425
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Slc12a4_60641,26.2127332011774,4.4559584846021e-4,1.48214464376042
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Trmt11_68781,328.030352322989,4.8676467622035e-4,-1.02168340317301
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ube2v2_68406,970.905398164073,4.9100577461961e-4,-1.23363581307132
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Dram2_71194,54.726881611953,5.7259759410817e-4,-1.3343104867147
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Mbtps1_67068,195.028085057724,5.7942480704798e-4,-1.12559129906433
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Slf1_71972,176.198688232946,5.7942480704798e-4,-1.68471982432644
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm13889_55024,89.9672578687071,5.9465351609147e-4,1.69041110685445
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Crebrf_80154,409.9691880632,6.0384783537112e-4,-1.08113090744899
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Alg11_67845,36.4681165251882,6.369016079692e-4,-1.45273802615221
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Sema3c_68751,384.055744935758,8.0879702442491e-4,-1.87578135598337
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fblim1_67547,280.705732308527,0.00101539166857496,1.10289841727376
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abcb1a_29435,269.633656069535,0.00105406308038602,-1.22127578267208
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tmem38a_59558,318.431156837524,0.00105634419165168,1.25613389602938
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ero1l_29075,517.576361186841,0.0011555763525408,-1.09410618551243
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Osgin1_30257,147.249941093601,0.0011555763525408,1.08645008077386
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rhof_64396,48.0478673876548,0.00116102574068366,1.2374521856043
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acyp1_74193,111.144522117937,0.00116123474847611,-1.70901641362296
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap5_72704,436.309297877065,0.00126867129862125,-1.02273180868346
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Picalm_80276,170.131992323106,0.00127335007323993,-1.5117966807041
