expo_cond,group_comp,timepoint,gene,baseMean,padj,log2FoldChange
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cyp1a1_29719,73.1211868575955,1.03181287731786e-33,6.06711760220825
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cyp1a1_79654,94.9870926438043,7.98672426121825e-17,5.25106430064281
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Nqo1_29503,316.360800204349,3.68882720822831e-16,2.44994867444487
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tmem109_70229,450.189089848535,2.9014327707847597e-11,0.99958046153014
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cyp1b1_72511,72.8573526892265,3.08205308443315e-11,2.71366228597344
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Txnrd1_31483,110.599756667428,1.3675668844168602e-10,1.6984365329306
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Txnrd1_72590,545.813763099474,9.61876602357813e-10,1.28472540794117
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rasa1_29997,658.254188776496,1.27042887788294e-9,-1.00416328756146
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fbxo11_72686,2357.93749607859,4.6560015314925e-8,-0.822711872801136
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rfesd_55124,216.42757519817,5.86621783065109e-7,-1.35848248194568
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Uggt1_66719,1105.16853758609,1.08555830440481e-6,-0.829563100201978
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Lipo5_56386,22.7646691939931,2.02475679817556e-6,17.6713366907143
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Crbn_78654,551.99673746368,2.4101825594574e-6,-0.767663545240394
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rb1cc1_65517,288.209259160779,2.4101825594574e-6,-1.52136537542261
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tm2d2_70064,48.980776976869,2.4101825594574e-6,1.95870048035385
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Vps41_58137,389.834549703327,2.4101825594574e-6,-0.73667475812118
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Xiap_78640,704.573445048962,2.4101825594574e-6,-0.735525243517671
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Snx13_32157,1948.48626036665,2.47589398246082e-6,-0.77567528011146
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Nbeal1_63407,1085.61350452127,3.10505610819894e-6,-1.27155472903597
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Polr2a_57084,482.491300520424,4.24058911813985e-6,-0.831957126535252
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Edc3_69882,195.176351935033,4.8581292103121e-6,0.779316551249235
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rptor_71994,550.273762864011,4.8581292103121e-6,-0.736427386072609
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Matr3_75030,1000.81173547571,4.88893858494198e-6,-0.770754080135685
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Anp32a_76549,1045.32259345479,5.23491892589614e-6,-0.858308421769331
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Csnk1g1_72572,85.3921262184862,5.23491892589614e-6,-0.996106798037178
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rabl6_73963,193.957814477085,5.23491892589614e-6,-0.913564003093635
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tubgcp5_63771,338.25031902645,5.23491892589614e-6,-0.806961697890234
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ccdc88a_76169,452.991556490629,6.3102130030916e-6,-1.08505433060272
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gclm_29258,99.0746395336514,8.05573694694009e-6,1.04934031570395
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Pomp_80505,650.757031760307,8.05573694694009e-6,0.861006270920923
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm3150_31169,995.097006175083,8.08043103154213e-6,-1.31092709183827
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Wwp1_57205,2209.48380665349,8.62601118927942e-6,-0.640802880231878
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Nceh1_80299,410.313823356106,9.1130145469832e-6,-1.11662164120221
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Maoa_30665,301.313231655042,1.00576942634998e-5,-1.0621053252111
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Kat2b_64780,682.815674695507,1.58493272387044e-5,-0.963890147809342
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rab6a_68205,554.098196746527,1.61079246959436e-5,-0.8450291331253
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp386_57297,380.294209792829,1.61079246959436e-5,-1.32005515855866
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp992_80059,306.079986948806,1.61079246959436e-5,-1.67937587133015
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asph_69919,464.653585144025,1.98804375757155e-5,-0.615441585275857
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rmi1_56327,369.068273090494,1.98804375757155e-5,-1.13130919853496
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Mettl9_60859,1375.04059116191,2.12676552232052e-5,-0.86138762300064
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rap1a_77941,1082.34177566762,2.12676552232052e-5,-1.02094025836112
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Spred1_58716,1667.89453106518,2.17024949516274e-5,0.778069189879592
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rassf3_62192,2328.67912007362,2.22447611703106e-5,-0.632783486730348
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Smpdl3a_68633,1072.07341474034,2.22447611703106e-5,-1.37177096597934
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tnks2_67404,859.78636866995,2.23652998578876e-5,-0.976517813798067
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Pbrm1_70578,875.178455614908,2.32129676177381e-5,-0.664258923514307
