expo_cond,deg_4h,deg_4h_score,tox_4h,tox_4h_score,final_score
Flaming Peat,156,9,4,4,13
Flaming Eucalyptus,159,10,1,2,12
LPS,119,8,4,4,12
Smoldering Eucalyptus,88,7,1,2,9
Flaming Pine Needles,83,6,1,2,8
Flaming Red Oak,49,5,2,3,8
Flaming Pine,21,4,1,2,6
Smoldering Pine,21,4,1,2,6
Smoldering Pine Needles,17,3,1,2,5
Smoldering Peat,1,1,1,2,3
Smoldering Red Oak,2,2,0,1,3
