"","Eucalyptus_Flaming","Peat_Flaming","Pine_Flaming","Pine_Needles_Flaming","Red_Oak_Flaming","Eucalyptus_Smoldering","Peat_Smoldering","Pine_Smoldering","Pine_Needles_Smoldering","Red_Oak_Smoldering"
"Eucalyptus_Flaming",0,13.3758740343448,6.04391418708851,9.11704888887069,9.90712723164999,10.878948218453,19.1542323718163,13.9661990696574,11.9599985670743,11.6859034702396
"Peat_Flaming",13.3758740343448,0,15.045066572969,8.75041611000008,9.50508252153512,14.468572792147,20.7075015223009,17.0700046556924,15.8301112748294,14.7427109987346
"Pine_Flaming",6.04391418708851,15.045066572969,0,10.6669781311099,11.3576153809456,12.0459386044478,19.5459332256826,14.7364116843494,12.1599421335178,12.9579156930681
"Pine_Needles_Flaming",9.11704888887069,8.75041611000008,10.6669781311099,0,6.83372632295434,8.99320311033737,17.9031250764068,12.3196006123097,10.1686390034529,9.6387128123203
"Red_Oak_Flaming",9.90712723164999,9.50508252153512,11.3576153809456,6.83372632295434,0,9.66608011548323,18.1036037384998,13.2221564462252,10.9083850081688,10.0923243021555
"Eucalyptus_Smoldering",10.878948218453,14.468572792147,12.0459386044478,8.99320311033737,9.66608011548323,0,16.5151840485832,9.84381298773959,8.42636129244763,5.44570515402828
"Peat_Smoldering",19.1542323718163,20.7075015223009,19.5459332256826,17.9031250764068,18.1036037384998,16.5151840485832,0,18.2549280294831,16.2759544144681,17.7350993287427
"Pine_Smoldering",13.9661990696574,17.0700046556924,14.7364116843494,12.3196006123097,13.2221564462252,9.84381298773959,18.2549280294831,0,9.69117074029078,10.5763922520895
"Pine_Needles_Smoldering",11.9599985670743,15.8301112748294,12.1599421335178,10.1686390034529,10.9083850081688,8.42636129244763,16.2759544144681,9.69117074029078,0,9.38070367387702
"Red_Oak_Smoldering",11.6859034702396,14.7427109987346,12.9579156930681,9.6387128123203,10.0923243021555,5.44570515402828,17.7350993287427,10.5763922520895,9.38070367387702,0
