expo_cond,group_comp,timepoint,gene,baseMean,padj,log2FoldChange
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Dbp_68139,632.149631890746,0.0426765565459247,1.72453884891174
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Lcn2_30771,3128.49758351179,0.0439168424808423,1.63051297193295
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Klrk1_55502,33.7945972731644,0.0458460029613545,2.22479042155033
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Gm5483_56172,30.3676492873546,0.0464291935252486,2.77572593770828
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Cog2_29513,29.7919315606749,0.0480808326680464,1.74547056425318
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Paox_74766,13.1997969228962,0.0480808326680464,1.46999373163554
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Il17b_58197,41.4611156457856,0.0499954203419843,-4.04152405067539
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Sirpb1c_73101,20.6349568775259,0.0499954203419843,3.8547974199101
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Cfb_73409,995.819201061536,0.0503913996697853,1.36231465173994
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Prr15_61786,26.8773622224386,0.0503913996697853,1.36849418528636
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Gbp3_32192,134.135620173405,0.0524392227685093,1.5492196038385
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Slc22a14_69692,14.083331521002,0.0529966348467249,2.24623488628267
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Gbp4_72637,111.904468652511,0.0551546593369406,1.90945904247719
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Sulf1_73848,114.533022185514,0.0551546593369406,1.42613244685021
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tgtp1_67248,52.1058224798526,0.0558938030617853,1.97408990160633
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Cacng7_59342,13.5101505478006,0.0571762296168538,-1.82255808254027
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Gm10269_63037,28.4292197980087,0.0583305907057773,1.43876405498516
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Lilrb4a_72877,13.2866456834128,0.0612800424835844,2.25636081866686
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tmem258_79453,21.7299043957512,0.0629124908553945,1.34688663224824
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,S100a8_71339,58.9126535557177,0.0633973046648904,2.34789960645285
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ccdc80_74622,38.7202587960411,0.0636526785703267,1.94999605581097
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Apol9b_62923,93.2291185239469,0.0670493760864652,1.44867912128038
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Abat_69272,72.9921830138978,0.0680907208563904,-1.58961017641908
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Trdv4_59925,16.6636113443506,0.0687736010766506,1.72530952971347
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tmem182_30628,186.908343847398,0.070581762522924,-1.86866287935229
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Lrrc49_73606,14.9990577613398,0.071172045102305,1.44054135478256
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Zfp983_55842,27.5796174996019,0.0715852842574709,1.37318570748628
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Pcdh7_68698,188.654774491069,0.0733273917780445,-1.32358975537226
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Myh6_74746,1332.9463380001,0.0741017539197235,-1.64617685267514
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Speg_74646,16.1876459773176,0.0753721349352086,-1.5441685151622
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,H2-Aa_77871,127.456648772674,0.0762321605730048,2.69775723748356
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tslp_29582,68.0492929301119,0.0788806885342609,1.71477652023239
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ube3a_65027,23.7090849519237,0.0789696453706484,-1.95505724265827
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Zbp1_31398,50.1221475349923,0.0789696453706484,1.58345937814524
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Alpk3_61588,150.847856603341,0.0795351196207209,-1.3767071539754001
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Ighv1-80_70077,26.1277486988897,0.0815693060159268,1.59050529185444
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Lgals1_29720,54.844755844643,0.085675803948009,1.62385329202982
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Cd209b_58503,17.4318015791861,0.0885774590222703,-1.47800987204665
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Clca1_61980,40.4817271635822,0.0923254674261415,-3.83703898699067
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Hspb11_71508,150.515845004351,0.0923254674261415,1.91609406629898
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Gm8221_31772,14.6526817907594,0.0933491664190239,1.58946498644425
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Clec4e_76196,301.068091964944,0.0934651386957654,1.40152756891973
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Zbp1_32091,64.9308876657592,0.0935271094646557,1.59440566091137
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Dhps_76461,15.5188572014068,0.0959647013703309,1.89757039571524
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Tnfsf10_71699,20.6518083433048,0.0987951369816912,1.39998603976275
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,24h,Saa3_70560,346.199018984495,0.0995291837069267,2.45350982299304
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Ccny_61468,78.2012666777511,7.8431558354348e-4,-1.65553835935704
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Ttn_78247,182.848323153327,7.8431558354348e-4,-2.66810422009685
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Crhr2_71083,149.43903366291,0.00259549627793103,-5.00335123086439
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Dennd6a_58397,51.4102895281678,0.00259549627793103,-1.35975332879215
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Mylk4_29402,1287.89244065995,0.00415799478446179,-2.41321105700978
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Art1_56953,494.811390137042,0.00430384140141434,-3.90710510795653
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Tmem182_30628,186.908343847398,0.0053036465799483,-3.04688634998539
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Actc1_79948,18446.1055077177,0.00720316126436399,-1.91372010392782
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Praf2_65312,34.6936406552861,0.00720316126436399,2.79087726481267
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Tnnc1_63957,5958.62675175584,0.00747400458349534,-2.02796985058106
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,H2-Aa_77871,127.456648772674,0.00780772236310473,3.84034890801226
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Ctnna3_53913,223.563520623756,0.0116157127379762,-1.50250637357791
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Aldh1b1_55512,143.633548504155,0.0125918165048488,-1.67621926829683
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Ckmt2_30858,6237.51542933357,0.0125918165048488,-2.35613179822332
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Trim63_67828,329.234431699619,0.013186863183871,-3.21131037473093
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Cd3g_30595,11.4289499017445,0.013407816407852,2.31747720882187
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Peak1_73295,25.1457171473041,0.0134316317686479,-1.44129836368615
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Btk_72761,51.7329641365768,0.0160609556012417,1.36573374042309
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Mrvi1_65523,74.377356604809,0.0160609556012417,-1.3957997776826
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Ppp4r3b_79887,39.3083528728805,0.0194111674355222,2.44167223761255
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Nrap_65543,200.704371665045,0.0218270389894661,-2.98723678277202
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Plekhf1_54125,57.349717888709,0.0227542557308999,-1.39460468810761
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Hrc_61665,1120.81236591261,0.0276498425331729,-2.12150117892944
Smoldering Eucalyptus,Smoldering Eucalyptus vs. Saline,24h,Dscr3_77710,27.7028546614983,0.0280077455654828,1.47232214497894
